"Employee ID","Name","Department","Salary"
"10001","Georgi Facello","Development","wWu4jEe9g5e7pg1mwGJAvg=="
"10002","Bezalel Simmel","Sales","5ZRR8amWa4VL1vs7W/dEJw=="
"10003","Parto Bamford","Production","xF4oev+u/jzHjy8y6CB8CQ=="
"10004","Chirstian Koblick","Production","DXuq9FznAP5G0q7hxCM4JA=="
"10005","Kyoichi Maliniak","Human Resources","T02KnOL1NJJzqipUfiqZ6Q=="
"10006","Anneke Preusig","Development","pNZsz/kIXLvs9n3EbMXI+Q=="
"10007","Tzvetan Zielinski","Research","EXK1TlGn6DbxJQVHL6D2Uw=="
"10009","Sumant Peac","Quality Management","YRpynEBZ/L4QwQURr1MWSw=="
"10010","Duangkaew Piveteau","Quality Management","0RKU296/qZE13s5Z6tOlRw=="
"10010","Duangkaew Piveteau","Production","0RKU296/qZE13s5Z6tOlRw=="
"10012","Patricio Bridgland","Development","UdrRPsfKLmL5pUQeadqLNg=="
"10013","Eberhardt Terkki","Human Resources","Cr92xa5mTRO4+otr7fgDUQ=="
"10014","Berni Genin","Development","Eack9MIQ8cPrb1Y5MV8HJw=="
"10016","Kazuhito Cappelletti","Sales","ttBzcjS+7N7aZf/Syn+n4w=="
"10017","Cristinel Bouloucos","Marketing","DrUEBGW9tlZJZcSWePJmwA=="
"10018","Kazuhide Peha","Development","V7LYcVDS9scyWRRWmxxOfQ=="
"10018","Kazuhide Peha","Production","V7LYcVDS9scyWRRWmxxOfQ=="
"10019","Lillian Haddadi","Research","KLBE2JsrMYP3SJug4V4XMQ=="
"10020","Mayuko Warwick","Production","CaKia/FR+wK/olvctVhhcw=="
"10022","Shahaf Famili","Development","JIbUp4SoidSIc7Z5FPD7Ag=="
"10023","Bojan Montemayor","Development","LBv2RSPTUsBt7wFuk2q7cw=="
"10024","Suzette Pettey","Production","xwhMLnXcPTxYFHP2aJM95Q=="
"10026","Yongqiao Berztiss","Production","aI521/qm2r5dYcsYUdl+lQ=="
"10027","Divier Reistad","Development","r/L3qDF9viv8v6Xu0vKrcQ=="
"10029","Otmar Herbst","Quality Management","9jHmVIioKa9FwUEOpZOUzw=="
"10029","Otmar Herbst","Production","9jHmVIioKa9FwUEOpZOUzw=="
"10030","Elvis Demeyer","Production","azXhntQRiQcEdB/JWThAxw=="
"10031","Karsten Joslin","Development","p6vV4o35VxStVPZRBZOqeA=="
"10032","Jeong Reistad","Production","FRTl8E0Y7wgCmoiVamHvBw=="
"10035","Alain Chappelet","Production","SLE4QJtj7LLtEbwAQfMydQ=="
"10036","Adamantios Portugali","Human Resources","LLKmJxNsGhl7FKWeYHRIKQ=="
"10037","Pradeep Makrucki","Development","Y8HNZwcmQuJCsEVGiYRMKQ=="
"10038","Huan Lortz","Customer Service","Cs41s/exHSSYjwk6+RcFQw=="
"10039","Alejandro Brender","Human Resources","v9NkcaUbIY2z5q6u/YpbZw=="
"10040","Weiyi Meriste","Development","PHXgSw7FcA/GVQChfNFskQ=="
"10040","Weiyi Meriste","Research","PHXgSw7FcA/GVQChfNFskQ=="
"10041","Uri Lenart","Sales","CR2ft1+IPkEgnw29wjSeLQ=="
"10043","Yishay Tzvieli","Development","RjMAzgkBDuCgOYmd6SX/aQ=="
"10044","Mingsen Casley","Production","cvjLM+AQbRrkkUfsyvyglA=="
"10045","Moss Shanbhogue","Production","R+yUh4Nq/9IWi6E6B2MxRw=="
"10046","Lucien Rosenbaum","Research","kw8znnbv1usSr9CGuPRajA=="
"10047","Zvonko Nyanchama","Production","sKDi86CmzaACzscD5eQfng=="
"10049","Basil Tramer","Customer Service","4zBGKn0PwAS42SX0jh37kQ=="
"10050","Yinghua Dredge","Sales","+LqMdd25i00GC/gOzckMZw=="
"10050","Yinghua Dredge","Finance","+LqMdd25i00GC/gOzckMZw=="
"10051","Hidefumi Caine","Production","kZvroV5mp0hYeORUFsP2VQ=="
"10052","Heping Nitsch","Research","1WXWBrRFSJshT8Md/DahMA=="
"10053","Sanjiv Zschoche","Sales","8+SUc72EkJ+NP3jr4uDptA=="
"10054","Mayumi Schueller","Human Resources","tN4CzB2zykMhHgH+ISfxuw=="
"10056","Brendon Bernini","Development","LzJXGEkEqtjG/yzWnZiEGA=="
"10057","Ebbe Callaway","Development","sy+9tmKfnfD1bIlcksAAMA=="
"10058","Berhard McFarlin","Marketing","n4jd8hy8CsmcTwLh3bwumA=="
"10059","Alejandro McAlpine","Finance","ImyBLX3u5rOvRnECTPI/Ig=="
"10060","Breannda Billingsley","Sales","ob2JpvPEbFGBuQ6FnV7I/w=="
"10060","Breannda Billingsley","Customer Service","ob2JpvPEbFGBuQ6FnV7I/w=="
"10061","Tse Herber","Sales","ebuDBv8xc8Jt0wZAmVlbFA=="
"10062","Anoosh Peyn","Development","hhbuKJYn/LmmgXCPwOHF/Q=="
"10063","Gino Leonhardt","Production","j8YTTR9f1wnGHaiWu0X1Cw=="
"10065","Satosi Awdeh","Development","zRd50MLfal3kgZ+BUeBQOw=="
"10066","Kwee Schusler","Development","PMu1CdAVjnuq3thjCUO6OQ=="
"10067","Claudi Stavenow","Quality Management","uGvuYgqZNYfH/X7kyxsNUQ=="
"10068","Charlene Brattka","Sales","wLs+dVzTgJ5xdiuq5fjDIQ=="
"10069","Margareta Bierman","Production","Orlwkq0EYize7b4y/dh8XQ=="
"10070","Reuven Garigliano","Research","ycEmduwHSd0aaAc+2XRHPQ=="
"10070","Reuven Garigliano","Development","ycEmduwHSd0aaAc+2XRHPQ=="
"10071","Hisao Lipner","Human Resources","EheG8JrktAb4D2rrj1ACng=="
"10072","Hironoby Sidou","Development","kSZqtbIupdbdZy6NsUDL9Q=="
"10074","Mokhtar Bernatsky","Development","shw4yz441AU6SUEMRD3aUg=="
"10076","Erez Ritzmann","Development","e0t6M70IvxTfnwbVWKt1zg=="
"10077","Mona Azuma","Human Resources","juic4hvQtog4duLG2T0LHg=="
"10078","Danel Mondadori","Development","zHMN/wU6aceDz6aQHgBiZw=="
"10079","Kshitij Gils","Development","qnzaF0ln8CM2LdFcuTb6Tg=="
"10080","Premal Baek","Human Resources","CWYBfu8qHmsVQsPtcEEsIg=="
"10080","Premal Baek","Finance","CWYBfu8qHmsVQsPtcEEsIg=="
"10081","Zhongwei Rosen","Production","tuhW9w9NE/bQQPm0R41JcQ=="
"10083","Vishv Zockler","Production","iphsfXeuIMtp0//rCk18lg=="
"10084","Tuval Kalloufi","Production","OOTK/c/EZPDb/Jw37/X+OA=="
"10085","Kenroku Malabarba","Production","xWaGNcURukiFwSqWJG6sAg=="
"10086","Somnath Foote","Human Resources","JQr0cugGiqWHgdgGLBUsxg=="
"10088","Jungsoon Syrzycki","Sales","RdmzFSmzOS/rS4xa60FnqQ=="
"10088","Jungsoon Syrzycki","Customer Service","RdmzFSmzOS/rS4xa60FnqQ=="
"10089","Sudharsan Flasterstein","Sales","Xmsm7h8fwo7sRh5yT/DYWQ=="
"10091","Amabile Gomatam","Development","qx6obIddscGOm4/WM6tHuA=="
"10092","Valdiodio Niizuma","Development","OMihA8btFiNG4FdDVZQILQ=="
"10093","Sailaja Desikan","Sales","2IawxKrr4unFP7rOgBgfEQ=="
"10095","Hilari Morton","Sales","sxUGCv3H2zVOZihUPF0rkw=="
"10096","Jayson Mandell","Production","KuGOQZZu9pMCYPjhjn38nQ=="
"10097","Remzi Waschkowski","Research","yNvUIzuPy9b9jjA0Y7ZdVg=="
"10099","Valter Sullins","Sales","o43od9Y97BjOllJxih3N4Q=="
"10100","Hironobu Haraldson","Human Resources","Aqi8NScanxHgPRpafxjV4A=="
"10102","Paraskevi Luby","Production","ZbJ5ZglJYbUaWWoIJbEMCw=="
"10103","Akemi Birch","Development","uf5MoSbWJgGeE60pm5dWDA=="
"10104","Xinyu Warwick","Research","Jpj4LEzrDoXvrHjU/DEXWg=="
"10106","Eben Aingworth","Production","gOLJa8PM4Gk2ZFogwCTBxg=="
"10107","Dung Baca","Sales","truXUxUdXKzyysXeJqaNbg=="
"10109","Mariusz Prampolini","Production","QMNoyEyZudOF+Va53+0G1A=="
"10110","Xuejia Ullian","Human Resources","sbCwirFTIWvbJpAYoKPoSw=="
"10111","Hugo Rosis","Quality Management","M4nwADjLrTCJv5EIGQPjcg=="
"10112","Yuichiro Swick","Customer Service","VH0xgGzqyke1lFTTB9R8NA=="
"10113","Jaewon Syrzycki","Production","rgieJvgnEWgvMKJXRYrERQ=="
"10114","Munir Demeyer","Research","D0mAKenyAF580++XH8BU3g=="
"10117","Kiyotoshi Blokdijk","Production","+Hdcr0Bm3MnKoLqOo1gEEA=="
"10118","Zhonghui Zyda","Development","K5DKlTjfmzVWqQvFE2LPXg=="
"10120","Armond Fairtlough","Production","zYzfOIm5mbSduQuarC+Fow=="
"10121","Guoxiang Ramsay","Development","8y0J9iVTn87rLrmt+o5Zsw=="
"10122","Ohad Esposito","Development","s1nc66G863soJNNMnTzbWQ=="
"10123","Hinrich Randi","Production","joAj2H/410/aopJSIsNlVQ=="
"10124","Geraldo Marwedel","Production","YeeJMZp+2YJklZoLeLAKwA=="
"10124","Geraldo Marwedel","Quality Management","YeeJMZp+2YJklZoLeLAKwA=="
"10126","Kayoko Valtorta","Customer Service","eIHWPCJuolCzPYnvwW3LUQ=="
"10127","Subir Baja","Development","9a4rRRlqxLnavO47tqqnsQ=="
"10128","Babette Lamba","Customer Service","k/msL5hgieaJca+VBEh1RA=="
"10129","Armond Peir","Development","Mto7REKOjs20MWpsSUxBvw=="
"10130","Nishit Casperson","Production","TOohz5/pmDwHGin2nfuqWw=="
"10132","Ayakannu Skrikant","Finance","uy0t8AWb0MxBCujYmrN/sg=="
"10133","Giri Isaak","Production","5VDrLdztFRv1p65a1cfW1g=="
"10134","Diederik Siprelle","Production","MWk9kf8ieHEBcLQoJwDjRg=="
"10134","Diederik Siprelle","Development","MWk9kf8ieHEBcLQoJwDjRg=="
"10135","Nathan Monkewich","Production","VlCTT5/+4fa0rGq6d4raCA=="
"10137","Maren Hutton","Customer Service","7mDZCJWYE4/V5JzGh2CXLA=="
"10138","Perry Shimshoni","Quality Management","cGQn7qDjvK9fY9qr2M73cg=="
"10139","Ewing Foong","Development","1IuaudHcWWG5BhDCRbzN/Q=="
"10140","Yucel Auria","Marketing","7IkOC6LjZbu0oVyAcdqrVQ=="
"10141","Shahaf Ishibashi","Research","FL/ppPS/rE71AnOvFD7J+A=="
"10142","Tzvetan Hettesheimer","Development","2gWF45QRunP64P9X7vvt7Q=="
"10143","Sakthirel Bakhtari","Development","UCRLiG6ZGFPHE5cQoZSbZQ=="
"10145","Akemi Esposito","Development","sHoDGxHaXYdA+1WQ1HeDLw=="
"10147","Kazuhito Encarnacion","Finance","a6LozUFdCVGmjMywmkppTw=="
"10148","Douadi Azumi","Sales","kALof36+XBbSTrz+a5LsXw=="
"10150","Zhenbing Perng","Development","b48bHLoC4DXYicFKeO7zgw=="
"10151","Itzchak Lichtner","Sales","gT26Wyy18WuJd2rWsRXkMQ=="
"10153","Heekeun Majewski","Development","i2J0WZ6U7Tr4E6OxgrLD/g=="
"10154","Abdulah Thibadeau","Customer Service","HDscZJ8WdFImiclxKGvSGw=="
"10155","Adas Nastansky","Research","ZRlYiwhy5QbqFNUnmjXw/A=="
"10155","Adas Nastansky","Production","ZRlYiwhy5QbqFNUnmjXw/A=="
"10156","Sumali Fargier","Quality Management","8O8qOdv5cBdRKEQMuolfcw=="
"10157","Nigel Aloisi","Development","1ge4gpDqDDHuzBmG1RMKlg=="
"10158","Khedija Mitsuhashi","Production","2IMLVxh0I9sKugGhZBcZeg=="
"10159","Serif Buescher","Quality Management","lIfdX/jjdtkm6JTkEp07XA=="
"10160","Debatosh Khasidashvili","Sales","bcrB0aJBwZEuy3/HfySB+A=="
"10162","Florina Eugenio","Production","hqBwbyAOEs4yOVdcxzJM+g=="
"10163","Karsten Szmurlo","Human Resources","W+tHS8R+WyEvhvWt0Vxb5w=="
"10164","Jagoda Braunmuhl","Customer Service","+D/498wyWdnacis5SBa3Hw=="
"10164","Jagoda Braunmuhl","Production","+D/498wyWdnacis5SBa3Hw=="
"10165","Miyeon Macedo","Finance","a5ElnLd66Ma1fJKoPvU2Ew=="
"10166","Samphel Siegrist","Development","P+FmDoDcjI/hnJxt5MWLOg=="
